
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
1640-06-21   | 00:00:00   | 22h01m00s    | -16°29'58"   | 0.01 AU      | 123.531°
1650-06-21   | 00:00:00   | 04h46m20s    | 22°48'25"    | 0.02 AU      | 16.726°
1660-06-21   | 00:00:00   | 09h17m14s    | 16°28'38"    | 0.02 AU      | 46.308°
1670-06-21   | 00:00:00   | 18h07m51s    | -28°27'48"   | 0.00 AU      | 174.653°
1680-06-21   | 00:00:00   | 04h03m00s    | 20°51'49"    | 0.02 AU      | 27.653°
1690-06-21   | 00:00:00   | 08h36m49s    | 19°26'44"    | 0.02 AU      | 36.520°
1700-06-21   | 00:00:00   | 14h36m17s    | -18°33'20"   | 0.01 AU      | 132.767°
1710-06-21   | 00:00:00   | 03h12m15s    | 17°37'08"    | 0.02 AU      | 38.829°
1720-06-21   | 00:00:00   | 07h56m26s    | 21°41'37"    | 0.02 AU      | 27.075°
1730-06-21   | 00:00:00   | 12h54m18s    | -07°27'41"   | 0.01 AU      | 105.971°
1740-06-21   | 00:00:00   | 02h25m23s    | 13°40'12"    | 0.02 AU      | 51.469°
1750-06-21   | 00:00:00   | 07h15m24s    | 23°13'41"    | 0.03 AU      | 17.748°
1760-06-21   | 00:00:00   | 11h51m45s    | 00°14'51"    | 0.01 AU      | 87.908°
1770-06-21   | 00:00:00   | 01h31m42s    | 08°12'31"    | 0.01 AU      | 65.456°
1780-06-21   | 00:00:00   | 06h36m10s    | 23°59'19"    | 0.03 AU      | 8.050°
1790-06-21   | 00:00:00   | 11h01m18s    | 06°17'36"    | 0.02 AU      | 74.222°
1800-06-21   | 00:00:00   | 00h29m00s    | 00°53'07"    | 0.01 AU      | 82.427°
1810-06-21   | 00:00:00   | 05h49m44s    | 24°02'30"    | 0.03 AU      | 1.502°
1820-06-21   | 00:00:00   | 10h16m44s    | 11°10'11"    | 0.02 AU      | 62.455°
1830-06-21   | 00:00:00   | 23h01m12s    | -09°46'37"   | 0.01 AU      | 106.443°
1840-06-21   | 00:00:00   | 05h07m47s    | 23°16'44"    | 0.02 AU      | 11.700°
1850-06-21   | 00:00:00   | 09h35m02s    | 15°08'41"    | 0.02 AU      | 51.823°
1860-06-21   | 00:00:00   | 20h12m24s    | -24°46'00"   | 0.00 AU      | 149.693°
1870-06-21   | 00:00:00   | 04h21m30s    | 21°35'21"    | 0.02 AU      | 22.248°
1880-06-21   | 00:00:00   | 08h57m03s    | 18°09'54"    | 0.02 AU      | 41.547°
1890-06-21   | 00:00:00   | 15h54m37s    | -24°01'06"   | 0.01 AU      | 151.754°
1900-06-21   | 00:00:00   | 03h34m00s    | 18°55'39"    | 0.02 AU      | 33.433°
1910-06-21   | 00:00:00   | 08h14m20s    | 20°49'26"    | 0.02 AU      | 32.369°
1920-06-21   | 00:00:00   | 13h33m10s    | -11°31'42"   | 0.01 AU      | 116.449°
1930-06-21   | 00:00:00   | 02h45m01s    | 15°13'54"    | 0.02 AU      | 45.436°
1940-06-21   | 00:00:00   | 07h36m16s    | 22°30'13"    | 0.03 AU      | 22.672°
1950-06-21   | 00:00:00   | 12h16m57s    | -02°26'11"   | 0.01 AU      | 95.787°
1960-06-21   | 00:00:00   | 01h56m17s    | 10°38'45"    | 0.02 AU      | 58.853°
1970-06-21   | 00:00:00   | 06h54m25s    | 23°37'15"    | 0.03 AU      | 13.254°
1980-06-21   | 00:00:00   | 11h23m47s    | 04°00'45"    | 0.01 AU      | 80.339°
1990-06-21   | 00:00:00   | 00h58m52s    | 04°21'22"    | 0.01 AU      | 74.133°
2000-06-21   | 00:00:00   | 06h14m02s    | 23°58'25"    | 0.03 AU      | 3.343°
