
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
1620-06-21   | 00:00:00   | 04h14m18s    | 20°10'48"    | 0.01 AU      | 24.770°
1630-06-21   | 00:00:00   | 07h12m36s    | 22°58'51"    | 0.01 AU      | 17.032°
1640-06-21   | 00:00:00   | 04h13m51s    | 20°30'22"    | 0.01 AU      | 24.948°
1650-06-21   | 00:00:00   | 07h27m04s    | 22°22'00"    | 0.01 AU      | 20.271°
1660-06-21   | 00:00:00   | 04h19m51s    | 21°04'00"    | 0.01 AU      | 23.607°
1670-06-21   | 00:00:00   | 07h38m27s    | 21°44'08"    | 0.01 AU      | 22.828°
1680-06-21   | 00:00:00   | 04h30m26s    | 21°44'37"    | 0.01 AU      | 21.211°
1690-06-21   | 00:00:00   | 07h45m32s    | 21°10'33"    | 0.01 AU      | 24.400°
1700-06-21   | 00:00:00   | 04h36m46s    | 22°08'34"    | 0.01 AU      | 18.882°
1710-06-21   | 00:00:00   | 07h42m34s    | 21°03'47"    | 0.01 AU      | 24.558°
1720-06-21   | 00:00:00   | 04h52m30s    | 22°49'26"    | 0.01 AU      | 15.338°
1730-06-21   | 00:00:00   | 07h37m00s    | 20°53'44"    | 0.01 AU      | 23.166°
1740-06-21   | 00:00:00   | 05h10m01s    | 23°24'20"    | 0.01 AU      | 11.423°
1750-06-21   | 00:00:00   | 07h20m27s    | 21°02'22"    | 0.01 AU      | 19.203°
1760-06-21   | 00:00:00   | 05h28m44s    | 23°50'34"    | 0.01 AU      | 7.272°
1770-06-21   | 00:00:00   | 06h50m35s    | 21°23'14"    | 0.01 AU      | 12.167°
1780-06-21   | 00:00:00   | 05h48m12s    | 24°06'22"    | 0.01 AU      | 3.021°
1790-06-21   | 00:00:00   | 06h09m08s    | 21°34'31"    | 0.01 AU      | 2.938°
1800-06-21   | 00:00:00   | 05h59m19s    | 24°10'36"    | 0.01 AU      | 0.847°
1810-06-21   | 00:00:00   | 05h29m15s    | 21°21'36"    | 0.01 AU      | 6.463°
1820-06-21   | 00:00:00   | 06h19m00s    | 24°08'02"    | 0.01 AU      | 4.820°
1830-06-21   | 00:00:00   | 04h51m06s    | 20°43'34"    | 0.01 AU      | 15.350°
